eta_d,MR,R8,R52,Ohsumed,20NG
1,90.91,98.90,95.64,88.47,94.80
1.5,90.49,98.95,95.60,87.86,94.86
2,90.46,98.90,95.68,87.16,94.70
2.5,90.41,98.95,95.05,85.41,94.08
3,90.21,98.81,95.09,84.62,93.88
3.5,90.15,98.81,95.21,83.82,93.92
4,90.15,98.77,94.98,84.12,93.51
4.5,89.79,98.49,94.78,83.16,93.12
5,89.90,98.54,94.86,82.93,92.92
5.5,89.81,98.68,94.47,81.70,92.70
6,89.90,98.26,94.63,80.56,92.21
6.5,89.90,98.17,94.67,80.06,92.31
7,89.65,98.31,94.47,80.26,91.91
7.5,89.59,98.31,94.63,79.37,91.62
8,89.73,98.17,94.39,79.32,91.57
8.5,89.76,98.08,94.35,79.37,91.73
9,89.93,97.99,94.16,77.89,91.00
9.5,89.42,98.08,94.08,78.80,90.60
